Rk,Gcar,Gtm,Date,Team,,Opp,Type,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
116,116,16,2024-01-05,Iowa,@,Rutgers,REG (Conf),W 103-69,*,29,10,22,0.455,3,9,0.333,7,13,0.538,0.523,6,7,0.857,1,9,10,10,2,0,3,3,29,25.4
117,117,17,2024-01-10,Iowa,@,Purdue,REG (Conf),W 96-71,*,35,8,18,0.444,6,14,0.429,2,4,0.500,0.611,4,4,1.000,0,10,10,10,1,1,5,1,26,22.9
118,118,18,2024-01-13,Iowa,,Indiana,REG (Conf),W 84-57,*,34,10,21,0.476,6,16,0.375,4,5,0.800,0.619,4,4,1.000,0,5,5,11,1,1,6,4,30,22.6
119,119,19,2024-01-16,Iowa,,Wisconsin,REG (Conf),W 96-50,*,33,8,18,0.444,6,14,0.429,2,4,0.500,0.611,10,10,1.000,0,7,7,5,4,1,4,1,32,28.5
120,120,20,2024-01-21,Iowa,@,Ohio State,REG (Conf),L 92-100 (OT),*,43,12,25,0.480,7,18,0.389,5,7,0.714,0.620,14,16,0.875,0,3,3,7,2,1,7,4,45,31.4
121,121,21,2024-01-27,Iowa,,Nebraska,REG (Conf),W 92-73,*,35,12,22,0.545,8,15,0.533,4,7,0.571,0.727,6,7,0.857,0,10,10,6,2,0,5,3,38,30.0
122,122,22,2024-01-31,Iowa,@,Northwestern,REG (Conf),W 110-74,*,32,11,22,0.500,3,12,0.250,8,10,0.800,0.568,10,10,1.000,0,6,6,10,2,1,1,1,35,34.1
123,123,23,2024-02-03,Iowa,@,Maryland,REG (Conf),W 93-85,*,39,13,29,0.448,7,17,0.412,6,12,0.500,0.569,5,5,1.000,0,6,6,12,0,1,6,1,38,27.4
124,124,24,2024-02-08,Iowa,,Penn State,REG (Conf),W 111-93,*,37,8,23,0.348,4,14,0.286,4,9,0.444,0.435,7,7,1.000,0,5,5,15,0,1,12,3,27,13.6
125,125,25,2024-02-11,Iowa,@,Nebraska,REG (Conf),L 79-82,*,39,10,25,0.400,5,15,0.333,5,10,0.500,0.500,6,9,0.667,0,8,8,10,4,2,2,1,31,28.7
126,126,26,2024-02-15,Iowa,,Michigan,REG (Conf),W 106-89,*,37,16,31,0.516,9,18,0.500,7,13,0.538,0.661,8,8,1.000,0,5,5,13,1,0,5,1,49,39.9
